Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570028400,2019-10-02 15:00:00.000,,,,465101,465897,464512,
1570028400,2019-10-02 15:00:00.000,18348,,,,,,
1570030200,2019-10-02 15:30:00.000,,,,465084,465883,464510,
1570028700,2019-10-02 15:05:00.000,20343,,,,,,
1570029000,2019-10-02 15:10:00.000,19812,,,,,,
1570029300,2019-10-02 15:15:00.000,19636,,,,,,
1570029600,2019-10-02 15:20:00.000,19640,,,,,,
1570029900,2019-10-02 15:25:00.000,19581,,,,,,
1570030200,2019-10-02 15:30:00.000,19650,,,,,,
1570030500,2019-10-02 15:35:00.000,20581,,,,,,
1570030800,2019-10-02 15:40:00.000,19722,,,,,,
1570031100,2019-10-02 15:45:00.000,19717,,,,,,
1570031400,2019-10-02 15:50:00.000,21463,,,,,,
1570031700,2019-10-02 15:55:00.000,4042,,,,,,
