Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570219200,2019-10-04 20:00:00.000,,,,465255,466161,464731,
1570219200,2019-10-04 20:00:00.000,26553,,,,,,
1570221000,2019-10-04 20:30:00.000,,,,465268,466186,464737,
1570219500,2019-10-04 20:05:00.000,26527,,,,,,
1570219800,2019-10-04 20:10:00.000,26742,,,,,,
1570220100,2019-10-04 20:15:00.000,38199,,,,,,
1570220400,2019-10-04 20:20:00.000,26565,,,,,,
1570220700,2019-10-04 20:25:00.000,26690,,,,,,
1570221000,2019-10-04 20:30:00.000,26979,,,,,,
1570221300,2019-10-04 20:35:00.000,26477,,,,,,
1570221600,2019-10-04 20:40:00.000,28538,,,,,,
1570221900,2019-10-04 20:45:00.000,26606,,,,,,
1570222200,2019-10-04 20:50:00.000,26697,,,,,,
1570222500,2019-10-04 20:55:00.000,26909,,,,,,
