Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570482000,2019-10-07 21:00:00.000,,,,465263,466158,464721,
1570482000,2019-10-07 21:00:00.000,18773,,,,,,
1570483800,2019-10-07 21:30:00.000,,,,465268,466161,464734,
1570482300,2019-10-07 21:05:00.000,25670,,,,,,
1570482600,2019-10-07 21:10:00.000,25581,,,,,,
1570482900,2019-10-07 21:15:00.000,27671,,,,,,
1570483200,2019-10-07 21:20:00.000,27712,,,,,,
1570483500,2019-10-07 21:25:00.000,26030,,,,,,
1570483800,2019-10-07 21:30:00.000,25211,,,,,,
1570484100,2019-10-07 21:35:00.000,26379,,,,,,
1570484400,2019-10-07 21:40:00.000,24750,,,,,,
1570484700,2019-10-07 21:45:00.000,24475,,,,,,
1570485000,2019-10-07 21:50:00.000,26606,,,,,,
1570485300,2019-10-07 21:55:00.000,24915,,,,,,
