Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570500000,2019-10-08 02:00:00.000,,,,465282,466188,464759,
1570500000,2019-10-08 02:00:00.000,26647,,,,,,
1570501800,2019-10-08 02:30:00.000,,,,465287,466181,464745,
1570500300,2019-10-08 02:05:00.000,28591,,,,,,
1570500600,2019-10-08 02:10:00.000,28627,,,,,,
1570500900,2019-10-08 02:15:00.000,28546,,,,,,
1570501200,2019-10-08 02:20:00.000,26549,,,,,,
1570501500,2019-10-08 02:25:00.000,28524,,,,,,
1570501800,2019-10-08 02:30:00.000,28371,,,,,,
1570502100,2019-10-08 02:35:00.000,26551,,,,,,
1570502400,2019-10-08 02:40:00.000,26594,,,,,,
1570502700,2019-10-08 02:45:00.000,26575,,,,,,
1570503000,2019-10-08 02:50:00.000,28586,,,,,,
1570503300,2019-10-08 02:55:00.000,26479,,,,,,
