Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570204800,2019-10-04 16:00:00.000,,,,465207,466071,464654,
1570204800,2019-10-04 16:00:00.000,28261,,,,,,
1570206600,2019-10-04 16:30:00.000,,,,465224,466076,464669,
1570205100,2019-10-04 16:05:00.000,26847,,,,,,
1570205400,2019-10-04 16:10:00.000,26343,,,,,,
1570205700,2019-10-04 16:15:00.000,26477,,,,,,
1570206000,2019-10-04 16:20:00.000,28483,,,,,,
1570206300,2019-10-04 16:25:00.000,27772,,,,,,
1570206600,2019-10-04 16:30:00.000,26666,,,,,,
1570206900,2019-10-04 16:35:00.000,27855,,,,,,
1570207200,2019-10-04 16:40:00.000,27633,,,,,,
1570207500,2019-10-04 16:45:00.000,27674,,,,,,
1570207800,2019-10-04 16:50:00.000,28816,,,,,,
1570208100,2019-10-04 16:55:00.000,28586,,,,,,
