Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1569985200,2019-10-02 03:00:00.000,,,,465262,466165,464745,
1569985200,2019-10-02 03:00:00.000,20589,,,,,,
1569987000,2019-10-02 03:30:00.000,,,,465279,466181,464740,
1569985500,2019-10-02 03:05:00.000,20691,,,,,,
1569985800,2019-10-02 03:10:00.000,20469,,,,,,
1569986100,2019-10-02 03:15:00.000,20402,,,,,,
1569986400,2019-10-02 03:20:00.000,18487,,,,,,
1569986700,2019-10-02 03:25:00.000,20455,,,,,,
1569987000,2019-10-02 03:30:00.000,20591,,,,,,
1569987300,2019-10-02 03:35:00.000,24234,,,,,,
1569987600,2019-10-02 03:40:00.000,24172,,,,,,
1569987900,2019-10-02 03:45:00.000,24339,,,,,,
1569988200,2019-10-02 03:50:00.000,20326,,,,,,
1569988500,2019-10-02 03:55:00.000,24339,,,,,,
