Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570633200,2019-10-09 15:00:00.000,,,,465190,466049,464627,
1570633200,2019-10-09 15:00:00.000,30294,,,,,,
1570635000,2019-10-09 15:30:00.000,,,,465201,466059,464673,
1570633500,2019-10-09 15:05:00.000,28386,,,,,,
1570633800,2019-10-09 15:10:00.000,30218,,,,,,
1570634100,2019-10-09 15:15:00.000,30416,,,,,,
1570634400,2019-10-09 15:20:00.000,26525,,,,,,
1570634700,2019-10-09 15:25:00.000,30299,,,,,,
1570635000,2019-10-09 15:30:00.000,28443,,,,,,
1570635300,2019-10-09 15:35:00.000,28827,,,,,,
1570635600,2019-10-09 15:40:00.000,1577,,,,,,
1570635900,2019-10-09 15:45:00.000,26489,,,,,,
1570636200,2019-10-09 15:50:00.000,24325,,,,,,
1570636500,2019-10-09 15:55:00.000,28300,,,,,,
