Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570222800,2019-10-04 21:00:00.000,,,,465257,466164,464741,
1570222800,2019-10-04 21:00:00.000,26780,,,,,,
1570224600,2019-10-04 21:30:00.000,,,,465273,466188,464741,
1570223100,2019-10-04 21:05:00.000,26668,,,,,,
1570223400,2019-10-04 21:10:00.000,26771,,,,,,
1570223700,2019-10-04 21:15:00.000,28543,,,,,,
1570224000,2019-10-04 21:20:00.000,26639,,,,,,
1570224300,2019-10-04 21:25:00.000,27098,,,,,,
1570224600,2019-10-04 21:30:00.000,28438,,,,,,
1570224900,2019-10-04 21:35:00.000,28536,,,,,,
1570225200,2019-10-04 21:40:00.000,26668,,,,,,
1570225500,2019-10-04 21:45:00.000,26618,,,,,,
1570225800,2019-10-04 21:50:00.000,28629,,,,,,
1570226100,2019-10-04 21:55:00.000,26916,,,,,,
