Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570514400,2019-10-08 06:00:00.000,,,,465279,466190,464753,
1570514400,2019-10-08 06:00:00.000,27081,,,,,,
1570516200,2019-10-08 06:30:00.000,,,,465264,466179,464752,
1570514700,2019-10-08 06:05:00.000,26811,,,,,,
1570515000,2019-10-08 06:10:00.000,28569,,,,,,
1570515300,2019-10-08 06:15:00.000,26520,,,,,,
1570515600,2019-10-08 06:20:00.000,28366,,,,,,
1570515900,2019-10-08 06:25:00.000,28749,,,,,,
1570516200,2019-10-08 06:30:00.000,30359,,,,,,
1570516500,2019-10-08 06:35:00.000,30263,,,,,,
1570516800,2019-10-08 06:40:00.000,28366,,,,,,
1570517100,2019-10-08 06:45:00.000,28476,,,,,,
1570517400,2019-10-08 06:50:00.000,28436,,,,,,
1570517700,2019-10-08 06:55:00.000,28507,,,,,,
