Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570251600,2019-10-05 05:00:00.000,-633494,,,,,,
1570251900,2019-10-05 05:05:00.000,-633494,,,,,,
1570252200,2019-10-05 05:10:00.000,-633494,,,,,,
1570252500,2019-10-05 05:15:00.000,-633494,,,,,,
1570252800,2019-10-05 05:20:00.000,-633494,,,,,,
1570253100,2019-10-05 05:25:00.000,-633494,,,,,,
1570253400,2019-10-05 05:30:00.000,-633494,,,,,,
1570253700,2019-10-05 05:35:00.000,-633494,,,,,,
1570254000,2019-10-05 05:40:00.000,-633494,,,,,,
1570254300,2019-10-05 05:45:00.000,-633494,,,,,,
1570254600,2019-10-05 05:50:00.000,-643217,,,,,,
1570254900,2019-10-05 05:55:00.000,-633494,,,,,,
