Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570050000,2019-10-02 21:00:00.000,-633494,,,,,,
1570050300,2019-10-02 21:05:00.000,-633494,,,,,,
1570050600,2019-10-02 21:10:00.000,-633494,,,,,,
1570050900,2019-10-02 21:15:00.000,-633494,,,,,,
1570051200,2019-10-02 21:20:00.000,-633494,,,,,,
1570051500,2019-10-02 21:25:00.000,-633494,,,,,,
1570051800,2019-10-02 21:30:00.000,-633494,,,,,,
1570052100,2019-10-02 21:35:00.000,-633494,,,,,,
1570052400,2019-10-02 21:40:00.000,-643217,,,,,,
1570052700,2019-10-02 21:45:00.000,-633494,,,,,,
1570053000,2019-10-02 21:50:00.000,-633494,,,,,,
1570053300,2019-10-02 21:55:00.000,-633494,,,,,,
