Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570302000,2019-10-05 19:00:00.000,-643217,,,,,,
1570302300,2019-10-05 19:05:00.000,-633494,,,,,,
1570302600,2019-10-05 19:10:00.000,-643217,,,,,,
1570302900,2019-10-05 19:15:00.000,-643217,,,,,,
1570303200,2019-10-05 19:20:00.000,-633494,,,,,,
1570303500,2019-10-05 19:25:00.000,-643217,,,,,,
1570303800,2019-10-05 19:30:00.000,-633494,,,,,,
1570304100,2019-10-05 19:35:00.000,-643217,,,,,,
1570304400,2019-10-05 19:40:00.000,-633494,,,,,,
1570304700,2019-10-05 19:45:00.000,-633494,,,,,,
1570305000,2019-10-05 19:50:00.000,-643217,,,,,,
1570305300,2019-10-05 19:55:00.000,-643217,,,,,,
