Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570039200,2019-10-02 18:00:00.000,-643217,,,,,,
1570039500,2019-10-02 18:05:00.000,-643217,,,,,,
1570039800,2019-10-02 18:10:00.000,-643217,,,,,,
1570040100,2019-10-02 18:15:00.000,-643217,,,,,,
1570040400,2019-10-02 18:20:00.000,-633494,,,,,,
1570040700,2019-10-02 18:25:00.000,-643217,,,,,,
1570041000,2019-10-02 18:30:00.000,-633494,,,,,,
1570041300,2019-10-02 18:35:00.000,-643217,,,,,,
1570041600,2019-10-02 18:40:00.000,-643217,,,,,,
1570041900,2019-10-02 18:45:00.000,-633494,,,,,,
1570042200,2019-10-02 18:50:00.000,-643217,,,,,,
1570042500,2019-10-02 18:55:00.000,-633494,,,,,,
