Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570622400,2019-10-09 12:00:00.000,-633494,,,,,,
1570622700,2019-10-09 12:05:00.000,-633494,,,,,,
1570623000,2019-10-09 12:10:00.000,-633494,,,,,,
1570623300,2019-10-09 12:15:00.000,-623770,,,,,,
1570623600,2019-10-09 12:20:00.000,-633494,,,,,,
1570623900,2019-10-09 12:25:00.000,-633494,,,,,,
1570624200,2019-10-09 12:30:00.000,-633494,,,,,,
1570624500,2019-10-09 12:35:00.000,-643217,,,,,,
1570624800,2019-10-09 12:40:00.000,-633494,,,,,,
1570625100,2019-10-09 12:45:00.000,-643217,,,,,,
1570625400,2019-10-09 12:50:00.000,-633494,,,,,,
1570625700,2019-10-09 12:55:00.000,-633494,,,,,,
