Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570546800,2019-10-08 15:00:00.000,-633494,,,,,,
1570547100,2019-10-08 15:05:00.000,-643217,,,,,,
1570547400,2019-10-08 15:10:00.000,-643217,,,,,,
1570547700,2019-10-08 15:15:00.000,-633494,,,,,,
1570548000,2019-10-08 15:20:00.000,-643217,,,,,,
1570548300,2019-10-08 15:25:00.000,-633494,,,,,,
1570548600,2019-10-08 15:30:00.000,-633494,,,,,,
1570548900,2019-10-08 15:35:00.000,-633494,,,,,,
1570549200,2019-10-08 15:40:00.000,-633494,,,,,,
1570549500,2019-10-08 15:45:00.000,-633494,,,,,,
1570549800,2019-10-08 15:50:00.000,-643217,,,,,,
1570550100,2019-10-08 15:55:00.000,-643217,,,,,,
