Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1569974400,2019-10-02 00:00:00.000,-643217,,,,,,
1569974700,2019-10-02 00:05:00.000,-633494,,,,,,
1569975000,2019-10-02 00:10:00.000,-643217,,,,,,
1569975300,2019-10-02 00:15:00.000,-633494,,,,,,
1569975600,2019-10-02 00:20:00.000,-633494,,,,,,
1569975900,2019-10-02 00:25:00.000,-633494,,,,,,
1569976200,2019-10-02 00:30:00.000,-643217,,,,,,
1569976500,2019-10-02 00:35:00.000,-633494,,,,,,
1569976800,2019-10-02 00:40:00.000,-643217,,,,,,
1569977100,2019-10-02 00:45:00.000,-643217,,,,,,
1569977400,2019-10-02 00:50:00.000,-643217,,,,,,
1569977700,2019-10-02 00:55:00.000,-643217,,,,,,
