Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1569931200,2019-10-01 12:00:00.000,-643217,,,,,,
1569931500,2019-10-01 12:05:00.000,-643217,,,,,,
1569931800,2019-10-01 12:10:00.000,-643217,,,,,,
1569932100,2019-10-01 12:15:00.000,-643217,,,,,,
1569932400,2019-10-01 12:20:00.000,-643217,,,,,,
1569932700,2019-10-01 12:25:00.000,-652941,,,,,,
1569933000,2019-10-01 12:30:00.000,-643217,,,,,,
1569933300,2019-10-01 12:35:00.000,-633494,,,,,,
1569933600,2019-10-01 12:40:00.000,-643217,,,,,,
1569933900,2019-10-01 12:45:00.000,-643217,,,,,,
1569934200,2019-10-01 12:50:00.000,-643217,,,,,,
1569934500,2019-10-01 12:55:00.000,-643217,,,,,,
