Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1570561200,2019-10-08 19:00:00.000,-633494,,,,,,
1570561500,2019-10-08 19:05:00.000,-643217,,,,,,
1570561800,2019-10-08 19:10:00.000,-633494,,,,,,
1570562100,2019-10-08 19:15:00.000,-633494,,,,,,
1570562400,2019-10-08 19:20:00.000,-633494,,,,,,
1570562700,2019-10-08 19:25:00.000,-633494,,,,,,
1570563000,2019-10-08 19:30:00.000,-643217,,,,,,
1570563300,2019-10-08 19:35:00.000,-633494,,,,,,
1570563600,2019-10-08 19:40:00.000,-633494,,,,,,
1570563900,2019-10-08 19:45:00.000,-633494,,,,,,
1570564200,2019-10-08 19:50:00.000,-633494,,,,,,
1570564500,2019-10-08 19:55:00.000,-643217,,,,,,
