Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1569963600,2019-10-01 21:00:00.000,-643217,,,,,,
1569963900,2019-10-01 21:05:00.000,-643217,,,,,,
1569964200,2019-10-01 21:10:00.000,-652941,,,,,,
1569964500,2019-10-01 21:15:00.000,-643217,,,,,,
1569964800,2019-10-01 21:20:00.000,-633494,,,,,,
1569965100,2019-10-01 21:25:00.000,-643217,,,,,,
1569965400,2019-10-01 21:30:00.000,-643217,,,,,,
1569965700,2019-10-01 21:35:00.000,-643217,,,,,,
1569966000,2019-10-01 21:40:00.000,-643217,,,,,,
1569966300,2019-10-01 21:45:00.000,-643217,,,,,,
1569966600,2019-10-01 21:50:00.000,-643217,,,,,,
1569966900,2019-10-01 21:55:00.000,-643217,,,,,,
