Time(longsecs),Time(UTC),Sensor SOH Voltage A 1(uV),Sensor SOH Voltage A 2(uV),Sensor SOH Voltage A 3(uV),External SOH Voltage 1(uV),External SOH Voltage 2(uV),External SOH Voltage 3(uV),
1569970800,2019-10-01 23:00:00.000,-643217,,,,,,
1569971100,2019-10-01 23:05:00.000,-643217,,,,,,
1569971400,2019-10-01 23:10:00.000,-643217,,,,,,
1569971700,2019-10-01 23:15:00.000,-643217,,,,,,
1569972000,2019-10-01 23:20:00.000,-643217,,,,,,
1569972300,2019-10-01 23:25:00.000,-643217,,,,,,
1569972600,2019-10-01 23:30:00.000,-633494,,,,,,
1569972900,2019-10-01 23:35:00.000,-643217,,,,,,
1569973200,2019-10-01 23:40:00.000,-633494,,,,,,
1569973500,2019-10-01 23:45:00.000,-633494,,,,,,
1569973800,2019-10-01 23:50:00.000,-643217,,,,,,
1569974100,2019-10-01 23:55:00.000,-643217,,,,,,
